ID_DE_LA_MUESTRA,TAG,CLASE,MUESTREADA,YEAR,MONTH,DAY,REGISTRADOS,ESTADO_DEL_REPORTE,EDAD_DEL_EQUIPO,EDAD_DEL_ACEITE,ACEITE_CAMBIADO,FILTRO_CAMBIADO,CLASIFICACION_DE_CONTAMINACION,CLASIFICACION_DE_EQUIPO,CLASIFICACION_DEL_ACEITE,INDICE_PQ,VISC@100C_(CST),OXIDACION_(AB/CM),@TAN_(MG_KOH/G),NITRATION_(AB/CM),TBN_(MG_KOH/G),HOLLIN_(WT_%),AGUA_(VOL.%),INDICADOR_DE_REFRIGERANTE,AG_(PLATA),AL_(ALUMINIO),CR_(CROMO),CU_(COBRE),FE_(HIERRO),MO_(MOLIBDENO),NI_(NIQUEL),PB_(PLOMO),SN_(ESTANO),TI_(TITANIO),K_(POTASIO),NA_(SODIO),SI_(SILICIO),V_(VANADIO),B_(BORO),BA_(BARIO),CA_(CALCIO),MG_(MAGNESIO),P_(FOSFORO),ZN_(ZINC)
17054888311,AXC601A,COMPRESOR CARGA,2017-02-22,2017,2,2,2017-02-24,PRECAUCION,12375.0,2469.0,0,0,NORMAL,NORMAL,PRECAUCION,,15.3,21.0,3.76,6.0,3.1,0.0,0.0,0,0,3,0,1,22,0,0,13,0,0,0,1,5,0,0,0,0,0,0,0
17068341309,AXC601A,COMPRESOR CARGA,2017-03-08,2017,3,2,2017-03-10,ALERTA,12567.0,2660.0,0,0,NORMAL,NORMAL,ALERTA,4.0,15.2,22.0,3.98,7.0,3.4,0.0,0.0,0,0,3,0,1,21,0,0,14,0,0,0,4,7,0,0,0,0,0,0,0
17080503331,AXC601A,COMPRESOR CARGA,2017-03-17,2017,3,4,2017-03-22,ALERTA,12667.0,2700.0,0,0,NORMAL,NORMAL,ALERTA,5.0,15.2,20.0,4.0,6.0,3.4,0.0,0.0,0,0,4,0,2,24,0,0,18,1,0,1,2,5,0,0,0,0,0,0,0
17083575310,AXC601A,COMPRESOR CARGA,2017-03-23,2017,3,3,2017-03-28,ALERTA,12771.0,2864.0,0,0,NORMAL,NORMAL,ALERTA,4.0,15.5,23.0,4.12,7.0,3.3,0.0,0.0,0,2,4,0,2,21,0,0,18,0,0,0,3,4,0,1,0,0,0,0,0
17089701304,AXC601A,COMPRESOR CARGA,2017-03-29,2017,3,2,2017-03-31,ALERTA,12900.0,2994.0,0,0,NORMAL,NORMAL,ALERTA,5.0,15.5,21.0,4.18,7.0,3.1,0.0,0.0,0,0,3,0,1,21,0,0,18,0,0,0,3,6,0,0,0,0,0,0,0
17095781339,AXC601A,COMPRESOR CARGA,2017-04-04,2017,4,1,2017-04-07,ALERTA,13173.0,3266.0,0,0,NORMAL,NORMAL,ALERTA,5.0,15.5,23.0,4.0,7.0,3.2,0.0,0.0,0,0,3,0,2,24,0,0,20,0,0,0,1,7,0,0,0,0,0,0,0
17110238311,AXC601A,COMPRESOR CARGA,2017-04-19,2017,4,2,2017-04-21,ALERTA,13219.0,3313.0,0,0,NORMAL,NORMAL,ALERTA,8.0,15.6,24.0,4.08,7.0,2.9,0.0,0.0,0,0,4,0,2,27,0,0,23,0,0,0,0,8,0,0,0,0,0,0,0
17138769315,AXC601A,COMPRESOR CARGA,2017-05-17,2017,5,2,2017-05-19,ALERTA,13531.0,3625.0,0,0,NORMAL,PRECAUCION,ALERTA,4.0,15.7,25.0,4.22,7.0,3.1,0.0,0.01,0,0,3,0,2,27,0,0,28,1,0,0,0,7,0,0,0,0,0,0,0
17185767327,AXC601A,COMPRESOR CARGA,2017-06-30,2017,6,4,2017-07-05,PRECAUCION,14398.0,4492.0,0,0,NORMAL,PRECAUCION,PRECAUCION,4.0,15.8,24.0,3.84,7.0,3.9,0.0,0.0,0,0,4,1,2,28,5,0,34,0,0,0,4,7,0,0,0,0,0,0,0
17199270318,AXC601A,COMPRESOR CARGA,2017-07-14,2017,7,4,2017-07-19,ALERTA,14634.0,4728.0,0,0,PRECAUCION,PRECAUCION,ALERTA,6.0,15.8,27.0,4.9,8.0,3.4,0.0,0.0,0,0,4,1,2,27,1,0,32,1,0,0,2,10,0,0,0,0,0,0,0
17200301333,AXC601A,COMPRESOR CARGA,2017-07-18,2017,7,1,2017-07-21,PRECAUCION,14665.0,4758.0,0,0,NORMAL,PRECAUCION,PRECAUCION,7.0,15.2,20.0,3.77,6.0,4.2,0.0,0.0,0,0,2,1,1,28,2,1,28,0,0,7,1,5,0,0,0,0,0,0,0
17212510322,AXC601A,COMPRESOR CARGA,2017-07-26,2017,7,2,2017-08-02,PRECAUCION,14834.0,4928.0,0,0,NORMAL,NORMAL,PRECAUCION,7.0,15.4,20.0,3.44,6.0,3.6,0.0,0.0,0,0,2,1,1,26,1,0,23,0,0,1,2,4,0,0,0,0,0,0,0
17226770330,AXC601A,COMPRESOR CARGA,2017-08-09,2017,8,2,2017-08-15,ALERTA,14966.0,5059.0,0,0,NORMAL,NORMAL,ALERTA,5.0,15.0,23.0,4.13,6.0,3.4,0.0,0.01,0,0,1,0,1,24,0,0,23,1,0,0,0,5,0,0,0,0,0,0,0
17229849326,AXC601A,COMPRESOR CARGA,2017-08-15,2017,8,1,2017-08-18,PRECAUCION,15201.0,5294.0,0,0,NORMAL,PRECAUCION,NORMAL,,15.6,24.0,,6.0,,0.0,0.0,0,0,3,1,1,29,0,0,31,1,0,0,0,7,0,0,0,0,0,0,0
17237228316,AXC601A,COMPRESOR CARGA,2017-08-23,2017,8,2,2017-08-28,ALERTA,15486.0,5580.0,0,0,NORMAL,PRECAUCION,ALERTA,5.0,15.8,24.0,3.93,7.0,3.5,0.0,0.0,0,0,2,1,2,26,0,0,26,1,0,0,5,7,0,0,0,0,0,0,0
17247386304,AXC601A,COMPRESOR CARGA,2017-08-31,2017,8,3,2017-09-04,ALERTA,15606.0,5699.0,0,0,NORMAL,NORMAL,ALERTA,7.0,15.8,25.0,4.06,7.0,3.5,0.0,0.0,0,0,4,0,1,22,0,0,24,0,0,0,3,5,0,1,0,0,0,0,0
17251448318,AXC601A,COMPRESOR CARGA,2017-09-05,2017,9,1,2017-09-08,ALERTA,15773.0,5866.0,0,0,NORMAL,PRECAUCION,ALERTA,1.0,15.8,25.0,3.99,7.0,4.0,0.0,0.0,0,0,3,0,2,24,0,0,28,1,0,0,0,6,0,0,0,0,0,0,0
17265792313,AXC601A,COMPRESOR CARGA,2017-09-19,2017,9,1,2017-09-25,ALERTA,15885.0,5978.0,0,0,NORMAL,NORMAL,ALERTA,6.0,15.8,25.0,4.05,7.0,3.4,0.0,0.0,0,0,1,0,1,24,1,0,25,0,0,1,2,5,0,0,0,0,0,0,0
17282317314,AXC601A,COMPRESOR CARGA,2017-10-04,2017,10,2,2017-10-10,NORMAL,16110.0,6203.0,0,0,NORMAL,NORMAL,NORMAL,9.0,15.2,19.0,3.39,6.0,3.9,0.0,0.0,0,0,6,1,1,29,0,0,25,1,0,0,5,8,0,0,0,0,0,0,0
17296547333,AXC601A,COMPRESOR CARGA,2017-10-18,2017,10,2,2017-10-24,PRECAUCION,16460.0,6553.0,0,0,NORMAL,NORMAL,PRECAUCION,3.0,15.6,23.0,3.87,7.0,4.5,0.0,0.0,0,0,1,1,2,17,0,0,25,1,0,0,0,5,0,0,0,0,0,0,0
